	(-2,-1.8]	(-1.8,-1.6]	(-1.6,-1.4]	(-1.4,-1.2]	(-1.2,-1]	(-1,-0.8]	(-0.8,-0.6]	(-0.6,-0.4]
(3,3.5]	-0.39313315	-0.39313315	-0.39313315	-0.39313315	-0.61301305	-0.82996863	3.70358323	1.01995588
(3.5,4]	0.25058085	0.25058085	0.25058085	0.25058085	0.84935422	0.33425909	0.05117324	0.39925006
(4,4.5]	-1.43277901	-1.43277901	-1.43277901	-1.43277901	-1.3169045	0.33485459	-1.12900568	4.33347953
(4.5,5]	-0.9954727	-0.9954727	-0.9954727	-0.9954727	-0.84396114	0.0106307	-0.48938916	5.70030264
(5,5.5]	-0.83884419	-0.83884419	-0.83884419	-0.83884419	-1.65544739	0.27475147	2.18396515	6.02655668
(5.5,6]	-1.10984409	-1.10984409	-1.10984409	-1.10984409	-0.92198421	-1.10538863	1.86743443	5.45104992
(6,6.5]	0.99724813	0.99724813	0.99724813	0.99724813	1.42972041	-1.88167053	0.44215475	7.09510345
(6.5,7]	-0.66788193	-0.66788193	-0.66788193	-0.66788193	-0.7829305	-0.10452847	-0.72709894	7.38143536
(7,7.5]	-0.14448197	-0.14448197	-0.14448197	-0.14448197	-0.09268716	-0.96799342	-0.37483104	1.41169665
(7.5,8]	0.44680125	0.44680125	0.44680125	0.44680125	0.2460535	-0.40939203	-0.05521014	2.20308468
(8,8.5]	-0.21932597	-0.21932597	-0.21932597	-0.21932597	-1.88558322	-2.62185868	1.25318608	-0.57504417
(8.5,9]	0.31547499	0.31547499	0.31547499	0.31547499	-0.95809167	-0.11859923	-0.36969816	-1.31274945
(9,9.5]	-0.8987383	-0.8987383	-0.8987383	-0.8987383	-0.80861363	-2.15974074	-0.91660145	0.04187519
(9.5,10]	-0.45040091	-0.45040091	-0.45040091	-0.45040091	-1.25959374	-2.57262767	-1.38938511	-0.73820662
(10,10.5]	-0.81259621	-0.81259621	-0.81259621	-0.81259621	-1.14644596	-2.54521329	-3.50680696	-2.94924803
(10.5,11]	0.79984418	0.79984418	0.79984418	0.79984418	-2.92766323	-1.50734296	-0.62647659	-3.58620991
(11,11.5]	-0.29246958	-0.29246958	-0.29246958	-0.29246958	-0.2728335	-1.12799916	-2.30128163	-3.58354742
(11.5,12]	0.02059652	0.02059652	0.02059652	0.02059652	-0.87722834	-2.28911854	-1.78190286	-2.64413816
(12,12.5]	-0.94306431	-0.94306431	-0.94306431	-0.94306431	-1.89836237	-2.48793761	-3.48593562	-4.12687994
(12.5,13]	-0.46871354	-0.46871354	-0.46871354	-0.46871354	-0.91142255	-0.99586108	-1.96451384	-1.83809196
								
	(-0.4,-0.2]	(-0.2,0]	(0,0.2]	(0.2,0.4]	(0.4,0.6]			
(3,3.5]	0.48161879	0.52370877	1.02318112	-0.76781763	0.54127959			
(3.5,4]	0.52691855	1.14964789	-0.70773613	2.27990309	-1.66600118			
(4,4.5]	2.61957403	3.67451922	1.47478211	-1.57385289	-0.59161884			
(4.5,5]	6.68302652	6.35326695	2.7337707	-2.01472119	-2.13487762			
(5,5.5]	7.52686432	5.35297101	3.68512913	-1.32836066	-1.84434974			
(5.5,6]	8.19042109	6.04417469	2.48093086	-0.33173426	-1.42679537			
(6,6.5]	9.10856436	7.20618482	0.4862685	-0.42913375	-1.23666363			
(6.5,7]	7.86440766	5.02466489	0.32290972	-1.71643909	-1.9517304			
(7,7.5]	5.28395781	0.41970672	0.10058546	-1.04240621	-2.11834021			
(7.5,8]	1.94949952	-1.53794548	-0.72994362	-2.41475378	-2.43311842			
(8,8.5]	2.0562122	-2.65579892	-2.92455492	-3.88106674	-2.93381614			
(8.5,9]	0.54788158	-2.4963008	-4.08809759	-2.77595472	-3.75628119			
(9,9.5]	-1.65572469	-3.2234046	-2.70309548	-4.12860375	-3.40891948			
(9.5,10]	0.27358365	-5.26712934	-3.81112257	-4.80471399	-3.79106343			
(10,10.5]	-3.8511866	-3.58836948	-3.5314667	-3.5025089	-3.9011035			
(10.5,11]	-3.24597323	-3.74097248	-3.36501287	-2.71835249	-2.28460374			
(11,11.5]	-2.50037451	-2.79578128	-2.48163559	-2.2607793	-1.96769671			
(11.5,12]	-2.85740396	-3.10398016	-1.87710898	-1.87391123	-1.30200431			
(12,12.5]	-2.50546869	-2.40744966	-1.69478893	-1.6284924	-0.77718797			
(12.5,13]	-0.63725313	-0.40386229	-1.09817571	0.19308664	-0.58359526			
								
	(0.6,0.8]	(0.8,1]	(1,1.2]	(1.2,1.4]	(1.4,1.6]	(1.6,1.8]	(1.8,2]	
(3,3.5]	-0.59815241	-0.48501127	-0.4533502	-0.33687686	-0.33687686	-0.33687686	-0.33687686	
(3.5,4]	-1.52787687	-1.09025627	-0.84309087	-0.65480051	-0.65480051	-0.65480051	-0.65480051	
(4,4.5]	-0.91559048	-0.9568841	-1.13250014	0.14726655	0.14726655	0.14726655	0.14726655	
(4.5,5]	-1.95924152	-0.9762605	-1.32565859	-0.89451772	-0.89451772	-0.89451772	-0.89451772	
(5,5.5]	-1.48812177	-0.51092477	-0.73177652	-0.59381358	-0.59381358	-0.59381358	-0.59381358	
(5.5,6]	-1.67658569	-1.54909858	-1.0713053	-0.64129296	-0.64129296	-0.64129296	-0.64129296	
(6,6.5]	-1.49598734	-1.56844789	-1.22809188	-0.84603812	-0.84603812	-0.84603812	-0.84603812	
(6.5,7]	-0.31864728	-1.91636274	-0.60284281	-0.75380306	-0.75380306	-0.75380306	-0.75380306	
(7,7.5]	-2.26574985	-0.80723027	-1.26473852	-0.90619746	-0.90619746	-0.90619746	-0.90619746	
(7.5,8]	-2.6671205	-1.21330812	-0.89032784	-0.91008734	-0.91008734	-0.91008734	-0.91008734	
(8,8.5]	-2.66965465	-3.19563358	-1.69342154	-1.04455434	-1.04455434	-1.04455434	-1.04455434	
(8.5,9]	-3.09004773	-3.08229862	-1.97559491	-0.19896648	-0.19896648	-0.19896648	-0.19896648	
(9,9.5]	-4.0655003	-3.82310438	-2.49590183	-0.67375103	-0.67375103	-0.67375103	-0.67375103	
(9.5,10]	-3.80324227	-4.39539876	-2.8964736	-1.40808898	-1.40808898	-1.40808898	-1.40808898	
(10,10.5]	-4.09378946	-3.30348429	-2.67633479	-1.34264816	-1.34264816	-1.34264816	-1.34264816	
